Samw_Sam_Sam_M_rep2_01	0.41680	1.18255	0.40549	1.07269	0.33925	1.00484	0.44588	0.87722	0.48626	0.92083	0.58319	1.03554	0.68659	1.16962	0.80290	0.97738	0.78998	0.92568	1.09531	0.79967	1.03715	0.67528	1.74151	1.12762	2.06785	0.79159	1.98384	0.61066	1.23101	0.41033	
Samw_Sam_Sam_M_rep2_02	0.39256	1.22455	0.36348	1.10177	0.28756	1.02584	0.40226	0.88206	0.44911	0.93053	0.56704	1.04846	0.69466	1.18416	0.80936	0.97253	0.78836	0.92407	1.10985	0.76575	1.03877	0.63327	1.84814	1.07269	2.14539	0.66235	2.04361	0.48465	1.24394	0.32633	
Samw_Sam_Sam_M_rep2_03	0.43134	1.24878	0.39579	1.13408	0.31825	1.07431	0.42003	0.92568	0.46688	0.96607	0.58481	1.07269	0.72051	1.19870	0.81421	0.98222	0.78998	0.92730	1.09369	0.75282	1.00646	0.62681	1.84006	0.98707	2.08077	0.57188	1.95799	0.41680	1.17124	0.32633	
Samw_Sam_Sam_M_rep2_04	0.42326	1.17124	0.41033	1.05815	0.33925	0.99353	0.44911	0.85945	0.48788	0.90306	0.58804	1.01776	0.70597	1.15670	0.81744	0.95638	0.80290	0.90468	1.09692	0.77059	1.04361	0.63974	1.78998	1.09046	2.09369	0.71728	2.00322	0.55250	1.24717	0.36187	
Samw_Sam_Sam_M_rep2_05	0.41680	1.16639	0.40064	1.05169	0.33117	0.98222	0.44264	0.85298	0.48626	0.89337	0.58319	1.01615	0.69951	1.15508	0.81421	0.95638	0.79321	0.89983	1.11631	0.76898	1.06461	0.63166	1.76898	1.10662	2.10662	0.73667	2.01615	0.57027	1.26978	0.36025	
Samw_Sam_Sam_M_rep2_06	0.42164	1.19547	0.39903	1.08562	0.32956	1.02261	0.42972	0.88529	0.47334	0.92891	0.59612	1.03069	0.69951	1.16639	0.79644	0.95961	0.77382	0.91276	1.08562	0.75928	1.02746	0.63004	1.77544	1.04200	2.06138	0.66720	1.95961	0.49757	1.21486	0.34571	
Samw_Sam_Sam_M_rep2_07	0.39903	1.20193	0.38125	1.08885	0.30694	1.02584	0.41518	0.88691	0.45880	0.93214	0.57027	1.04684	0.68174	1.18416	0.79644	0.97738	0.77382	0.91922	1.05169	0.78190	1.00161	0.64943	1.77059	1.07592	2.07431	0.69789	1.97576	0.53150	1.19062	0.36348	
Samw_Sam_Sam_M_rep2_08	0.40226	1.20032	0.38933	1.08562	0.31179	1.02261	0.42326	0.87398	0.46688	0.92083	0.56704	1.03877	0.69305	1.17770	0.80936	0.96607	0.78836	0.91114	1.09046	0.76413	1.03554	0.63327	1.79806	1.07915	2.10500	0.69951	2.00646	0.52988	1.22132	0.34733	
Samw_Sam_Sam_M_rep2_09	0.42810	1.22940	0.40872	1.11470	0.33279	1.05331	0.43941	0.91922	0.47980	0.95961	0.58966	1.06461	0.70920	1.19870	0.80775	0.99192	0.78352	0.93699	1.08077	0.79321	1.01776	0.66720	1.77059	1.06461	2.05331	0.69143	1.94345	0.51534	1.19709	0.38933	
Samw_Sam_Sam_M_rep2_10	0.41357	1.21324	0.39095	1.10016	0.31663	1.04200	0.43134	0.90145	0.46688	0.94345	0.57673	1.04523	0.70113	1.17124	0.79644	0.97415	0.77867	0.92891	1.09531	0.77867	1.03392	0.65751	1.78513	1.05654	2.08238	0.67689	1.99515	0.52988	1.23424	0.37802	
