Background,Genotype1,Genotype2,Sex,Replicate,Scale,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,"	X6",Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,CSize
sam,sam,sam,m,rep1,0.007,0.04258824,-0.11609401,0.22374122,-0.03192456,0.24009537,0.02011468,0.15655799,0.0914132,-0.1196361,0.0582962,-0.18869136,0.04899375,-0.01775733,-0.05517192,-0.00674733,-0.01745214,-0.09195889,0.00204983,-0.09045722,0.01606783,-0.14521853,0.0195592,-0.16772595,-0.00989559,-0.19520561,-0.01520388,-0.17988452,-0.06529,-0.14540786,-0.1004359,-0.09982932,-0.11996142,-0.0509956,-0.12511798,-0.00292563,-0.1224374,0.08997732,-0.10692024,0.13949333,-0.09191852,0.18427022,-0.0686778,0.23704121,-0.00865227,0.22099759,0.0544372,0.18927246,0.07828033,0.10460493,0.10001639,0.05840959,0.10015428,0.00882893,0.09539071,-0.05202665,0.0852754,-0.14733594,0.03575214,-0.19111359,0.02512276,0.01531901,-0.08094617,-0.06378825,-0.03553947,-0.11432732,-0.0210153,0.14931795,-0.02228629,0.07178401,-0.01580449,-0.04642521,-0.01046298,-0.13809994,0.00240915,0.17714957,0.02862878,0.11875393,0.03127058,0.05195026,0.03077004,-0.01965731,0.02769918,-0.11523441,0.01752064,0.10306829,0.07784875,0.04922921,0.06903267,-0.01107932,0.05840128,-0.07034266,0.04416554,-0.15126398,0.05980181,-0.00931479,-0.037264,583.5414259
sam,sam,sam,m,rep1,0.007,0.05224511,-0.12129371,0.2186284,-0.03055106,0.23206602,0.01890204,0.15639428,0.09330003,-0.11827091,0.064188,-0.18595192,0.054099,-0.01444728,-0.05899836,-0.00871738,-0.0167482,-0.08963177,0.00248302,-0.08765341,0.01879321,-0.14605856,0.02212764,-0.1632617,-0.00887376,-0.19120712,-0.01763149,-0.17935353,-0.06726849,-0.14903311,-0.10700845,-0.10175704,-0.12994705,-0.05078555,-0.1347882,-0.00168348,-0.13081298,0.09189011,-0.11179867,0.14112567,-0.09389752,0.18444089,-0.06769934,0.2299894,-0.00601468,0.21822319,0.05194182,0.18983156,0.07851166,0.10462873,0.10208418,0.05782782,0.10240662,0.00765768,0.09817524,-0.05416576,0.08878287,-0.15114629,0.0374517,-0.18768657,0.03042199,0.02145026,-0.08715724,-0.05833092,-0.03824576,-0.10945148,-0.0210525,0.14510191,-0.0230449,0.06914694,-0.01543194,-0.04688638,-0.00944849,-0.13653829,0.00510221,0.17196618,0.02821845,0.11501558,0.03114288,0.04981737,0.03147539,-0.02006559,0.02921506,-0.11448129,0.02024546,0.10310368,0.07982931,0.0490805,0.07141821,-0.01135572,0.06079751,-0.07086862,0.04708911,-0.1499699,0.06790993,-0.01087171,-0.03839974,584.5995426
sam,sam,sam,m,rep1,0.007,0.04409401,-0.1178193,0.22282552,-0.03144802,0.23733625,0.01884978,0.156897,0.09119031,-0.11916153,0.06029559,-0.18961867,0.05193725,-0.01531406,-0.05504484,-0.00471983,-0.01650832,-0.08837592,0.00178514,-0.0865808,0.01659353,-0.14707642,0.01980791,-0.16596045,-0.00862946,-0.19482831,-0.01860507,-0.18043107,-0.06640749,-0.14636425,-0.1020338,-0.10070463,-0.12221732,-0.05152249,-0.12755353,-0.00319682,-0.12474693,0.08995167,-0.10850725,0.13957255,-0.09296662,0.18424064,-0.06901713,0.23517378,-0.00787339,0.2188513,0.05313521,0.18806414,0.0774767,0.10378094,0.10113878,0.05731754,0.10149878,0.00752147,0.09648436,-0.05357505,0.08607753,-0.14977992,0.03647603,-0.19153083,0.02604517,0.01789425,-0.08152706,-0.06158597,-0.03573864,-0.11231999,-0.0214176,0.14924622,-0.0226663,0.07190758,-0.01550167,-0.04589512,-0.00907888,-0.1378702,0.00285414,0.17619756,0.02791822,0.11850222,0.03121531,0.05240137,0.03143649,-0.01845796,0.02839269,-0.11411627,0.01784882,0.10228258,0.07877771,0.04826712,0.06903588,-0.01228827,0.05775602,-0.07192723,0.04363139,-0.15172009,0.06426867,-0.00740356,-0.03661879,562.6815197
sam,sam,sam,m,rep1,0.007,0.04257634,-0.11945612,0.21944067,-0.0330404,0.2365268,0.02076658,0.15522273,0.09310737,-0.11514678,0.06435049,-0.18876159,0.05084191,-0.01758603,-0.05716853,-0.00828717,-0.01694792,-0.08858261,0.00049058,-0.08575388,0.01844466,-0.14512412,0.02068557,-0.16516091,-0.01086299,-0.19322754,-0.0183162,-0.18031183,-0.0667601,-0.14781512,-0.1042401,-0.10149839,-0.12572365,-0.05151182,-0.12960817,-0.00298623,-0.12602716,0.09063981,-0.11020312,0.14039672,-0.09404184,0.18435916,-0.06857421,0.23356177,-0.00705413,0.22002102,0.05380144,0.18912519,0.07861407,0.10405411,0.10208814,0.05735233,0.10223981,0.00737947,0.0970295,-0.05390967,0.08632727,-0.15029861,0.03614995,-0.19033633,0.02645604,0.01594135,-0.0838343,-0.06205228,-0.03727837,-0.11193373,-0.02181697,0.14611735,-0.02294313,0.06961271,-0.01572045,-0.0468255,-0.00974507,-0.13746349,0.00340787,0.17576455,0.02966968,0.11842999,0.03270449,0.05277513,0.03247285,-0.01757316,0.02910691,-0.11267391,0.01922706,0.10381524,0.07955513,0.05004091,0.07079149,-0.01005954,0.05950053,-0.06913798,0.04492624,-0.14925223,0.06445622,-0.00988291,-0.03784891,612.4574718
sam,sam,sam,m,rep1,0.007,0.04336359,-0.11499711,0.22554649,-0.03163276,0.24196743,0.01438606,0.14917147,0.0919716,-0.1196339,0.05859748,-0.19161161,0.04771671,-0.01669743,-0.05195625,-0.00262306,-0.01486743,-0.09127277,0.00327938,-0.08951762,0.01677669,-0.14843087,0.01970369,-0.16688708,-0.01009839,-0.19607303,-0.01890506,-0.17771673,-0.06471376,-0.14424736,-0.09987805,-0.09957023,-0.11995691,-0.05099969,-0.1235539,-0.00314647,-0.12057281,0.08983473,-0.10753297,0.13947288,-0.09305679,0.18411017,-0.06937221,0.23853043,-0.00974904,0.21982973,0.05373869,0.18791196,0.07674489,0.10396926,0.09935344,0.05790598,0.09941178,0.00856685,0.09380557,-0.05194198,0.08292011,-0.148831,0.03735044,-0.19319471,0.02407655,0.01803193,-0.07781021,-0.0625985,-0.03379099,-0.11346489,-0.0205741,0.15141712,-0.02380216,0.07341304,-0.0153442,-0.04560777,-0.00797576,-0.13869167,0.0038857,0.18112464,0.02702664,0.12202595,0.03072195,0.05435019,0.03154961,-0.01819877,0.02807712,-0.11666096,0.01813045,0.09866005,0.07712786,0.04536854,0.06847867,-0.01410052,0.05697934,-0.07241623,0.04192749,-0.15303455,0.06078028,-0.00740303,-0.03437735,580.9682434
sam,sam,sam,m,rep1,0.007,0.04461395,-0.11929951,0.22436653,-0.02881389,0.23885696,0.0222856,0.15408273,0.09121358,-0.11887731,0.05837006,-0.18852005,0.05185862,-0.01601789,-0.05604609,-0.01147208,-0.01686649,-0.09182668,0.00319432,-0.08983354,0.01683951,-0.14429168,0.02178675,-0.16774428,-0.00752703,-0.19356843,-0.01614822,-0.1790982,-0.06641516,-0.14512696,-0.10185351,-0.10008163,-0.12335339,-0.05075265,-0.1295416,-0.00227958,-0.12659993,0.09073711,-0.10940821,0.14017562,-0.09337069,0.18441358,-0.0689366,0.23542769,-0.00838935,0.22123441,0.05397602,0.18922578,0.07744213,0.10454568,0.09924054,0.05828897,0.09933096,0.00866473,0.0942723,-0.05224173,0.08392442,-0.14910595,0.03684404,-0.19033551,0.02740255,0.01741152,-0.0829638,-0.06221973,-0.03495617,-0.11337036,-0.01873044,0.14835193,-0.01997585,0.07077797,-0.01477184,-0.04744348,-0.0094729,-0.13845379,0.00510996,0.17624858,0.02939972,0.118292,0.03195388,0.05196286,0.03203864,-0.01912783,0.0286606,-0.11405137,0.01899487,0.10162563,0.07656812,0.04846793,0.06773349,-0.01104649,0.05735768,-0.06953614,0.04346176,-0.15059318,0.06102723,-0.01075562,-0.03684667,575.7302077
sam,sam,sam,m,rep1,0.007,0.04603825,-0.11841851,0.21927309,-0.03324313,0.23643357,0.02061627,0.15361477,0.09294834,-0.11415688,0.06418527,-0.19091209,0.05148663,-0.01303281,-0.05843631,-0.00045036,-0.01850054,-0.08706391,0.00081108,-0.08487667,0.0176295,-0.1463683,0.02078152,-0.16675137,-0.00888975,-0.19580409,-0.01717562,-0.18098517,-0.06610172,-0.14801515,-0.10302514,-0.10191576,-0.12375417,-0.05227577,-0.12859559,-0.00371345,-0.12567398,0.08987881,-0.10959634,0.13966582,-0.09364507,0.18388969,-0.06858369,0.23359596,-0.00710605,0.2192126,0.05372566,0.18815055,0.07804261,0.10354294,0.10213541,0.05686282,0.10244713,0.00692278,0.09701941,-0.05424503,0.08591462,-0.1510981,0.0371671,-0.19267869,0.02669128,0.01825474,-0.08373535,-0.0606983,-0.03712548,-0.11168783,-0.02160767,0.1482173,-0.02321997,0.07140055,-0.01615973,-0.04584812,-0.00949498,-0.13744042,0.00360582,0.17572924,0.02831405,0.1184375,0.03155068,0.05279698,0.0321618,-0.01755831,0.02853137,-0.11293518,0.01873124,0.10066255,0.07849514,0.04717144,0.06929399,-0.01279243,0.05875227,-0.07179657,0.04493618,-0.14965521,0.06524163,-0.00499596,-0.03912722,622.9521869
sam,sam,sam,m,rep1,0.007,0.04906152,-0.11898766,0.22111963,-0.03108592,0.23670263,0.02082043,0.15511985,0.0914062,-0.11571848,0.06196885,-0.18952428,0.05000032,-0.01530749,-0.05561926,-0.00348757,-0.01667501,-0.08833614,0.00204098,-0.08671998,0.01831097,-0.14984763,0.02158467,-0.16511438,-0.00855893,-0.19451609,-0.01790046,-0.18028543,-0.0660856,-0.14831883,-0.10428154,-0.10133455,-0.12381775,-0.05179072,-0.12850033,-0.00325017,-0.12634989,0.09026349,-0.11028736,0.13987122,-0.09406452,0.18381038,-0.06887117,0.23367143,-0.00798261,0.219951,0.05284786,0.1888905,0.07717891,0.10429437,0.10027664,0.05782882,0.10043787,0.00802519,0.09530261,-0.05313434,0.08503843,-0.15040592,0.03775472,-0.19097043,0.03032921,0.02065366,-0.0829411,-0.06033449,-0.03639943,-0.11164063,-0.02118733,0.14848485,-0.02238998,0.07168756,-0.01529441,-0.04546531,-0.00873617,-0.13685117,0.00334632,0.1754121,0.02911284,0.11767682,0.03217777,0.05155915,0.03216958,-0.01929099,0.02885708,-0.1151566,0.01930825,0.10087404,0.07819456,0.04664589,0.0688636,-0.01412383,0.05807242,-0.07411702,0.04489181,-0.14979281,0.06279103,-0.00676883,-0.0370675,604.022174
sam,sam,sam,m,rep1,0.007,0.04568723,-0.1183341,0.22195364,-0.03334443,0.23681324,0.02069761,0.15030504,0.09395437,-0.11476267,0.06336019,-0.18980155,0.05051613,-0.01642996,-0.05574533,-0.0041557,-0.01661694,-0.08723424,0.00041187,-0.08406999,0.01793332,-0.14509815,0.02068179,-0.16751552,-0.01014094,-0.19428065,-0.01768001,-0.18112518,-0.06692138,-0.14721366,-0.10307905,-0.10122849,-0.12342774,-0.05176862,-0.12797983,-0.00332018,-0.12502675,0.09037151,-0.11005496,0.14064993,-0.09532408,0.18563142,-0.07072227,0.23478552,-0.00783844,0.21959201,0.05318479,0.18873498,0.07776886,0.10405687,0.10191012,0.05736283,0.10208449,0.00744094,0.09654093,-0.05371506,0.08544192,-0.15075637,0.03708596,-0.19144217,0.02553701,0.0181476,-0.08214322,-0.0623385,-0.03552865,-0.11359483,-0.02002431,0.14893424,-0.0240674,0.07184474,-0.01592972,-0.04576016,-0.00941716,-0.13748795,0.00326841,0.17628645,0.02843002,0.11913835,0.03124307,0.05369692,0.03132266,-0.01647736,0.02850277,-0.11150437,0.0188674,0.09805881,0.07953706,0.04546317,0.06961008,-0.01348446,0.05827909,-0.07159819,0.04440623,-0.14986511,0.06549083,-0.00892635,-0.03672027,628.70518
sam,sam,sam,m,rep1,0.007,0.04699913,-0.11946682,0.22230757,-0.03154549,0.23670287,0.02125486,0.14766274,0.09464974,-0.11320195,0.06349598,-0.18927403,0.05113207,-0.01359785,-0.05665831,-0.00622276,-0.01670508,-0.08688757,0.00215216,-0.08495856,0.01865802,-0.14833266,0.02197001,-0.1656036,-0.00784004,-0.19613012,-0.01667434,-0.18059423,-0.06658757,-0.14734642,-0.1030616,-0.10182026,-0.12474847,-0.05206011,-0.12946831,-0.00345704,-0.12640072,0.09048443,-0.11143813,0.14069265,-0.09587268,0.1851953,-0.07051794,0.23418816,-0.00802751,0.2202728,0.05321676,0.18931288,0.0780908,0.10410726,0.10125183,0.05742806,0.10104767,0.00752243,0.09543738,-0.05367638,0.08446627,-0.15081682,0.03645932,-0.19169231,0.02721544,0.01987145,-0.08337001,-0.05983702,-0.03635158,-0.11079099,-0.02058755,0.14872215,-0.02219335,0.07142281,-0.01514396,-0.04641694,-0.00903015,-0.13787578,0.00538697,0.17605202,0.02932337,0.1185847,0.03214361,0.05277901,0.03208742,-0.01772618,0.02889212,-0.11355847,0.02022841,0.09801087,0.07616518,0.0448779,0.06794389,-0.01442271,0.05746259,-0.07278554,0.04377867,-0.14846584,0.06512319,-0.00564503,-0.0373441,600.8906064
