genotype	sex	side	microscope	magnification	ID	dimensions	Scale	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	X9	Y9	X10	Y10	X11	Y11	X12	Y12	X13	Y13	X14	Y14	X15	Y15	X16	Y16	X17	Y17	X18	Y18	X19	Y19	X20	Y20	X21	Y21	X22	Y22	X23	Y23	X24	Y24	X25	Y25	X26	Y26	X27	Y27	X28	Y28	X29	Y29	X30	Y30	X31	Y31	X32	Y32	X33	Y33	X34	Y34	X35	Y35	X36	Y36	X37	Y37	X38	Y38	X39	Y39	X40	Y40	X41	Y41	X42	Y42	X43	Y43	X44	Y44	X45	Y45	X46	Y46	X47	Y47	X48	Y48	CentroidSize
samw	M	L	lei	2X	49	600x449	0.0099	-0.04493107	-0.11985308	-0.22192756	-0.03405204	-0.2368316	0.01960886	-0.14447159	0.09432143	0.11635677	0.06534538	0.19180947	0.05172617	0.01987573	-0.05547541	0.00688968	-0.01788407	0.09039267	0.00156439	0.08908171	0.0185882	0.13787428	0.02162674	0.16704487	-0.0097225	0.18980308	-0.02003658	0.17909035	-0.06633836	0.14610773	-0.10272516	0.10062462	-0.12397275	0.0511787	-0.12900528	0.00291924	-0.12628472	-0.09166855	-0.11114292	-0.1427469	-0.09504877	-0.18785374	-0.06922492	-0.23529243	-0.00753604	-0.21987682	0.05122318	-0.18977128	0.0754604	-0.10613976	0.10123517	-0.05922116	0.10270105	-0.00919271	0.09848947	0.05302391	0.08842346	0.14973447	0.03897401	0.19119056	0.02958956	-0.01708805	-0.08326399	0.06360582	-0.03659516	0.11413812	-0.02147294	-0.14843344	-0.02375426	-0.07150505	-0.01725727	0.04649882	-0.00961752	0.13819151	0.00424217	-0.17441198	0.02711186	-0.11730909	0.03030247	-0.05226456	0.03116074	0.01762216	0.02912839	0.11152569	0.01951709	-0.09794148	0.07618894	-0.04636643	0.06889346	0.01091781	0.05961873	0.06782972	0.04706273	0.15178213	0.06602921	0.01013566	-0.03786952	4.5308623706
star	F	L	lei	2X	12	600x449	0.0099	-0.04718513	-0.11569484	-0.22250679	-0.03051054	-0.23725209	0.01370153	-0.15753572	0.0883302	0.11801482	0.06183746	0.19054367	0.05102913	0.01890795	-0.05325726	0.00394981	-0.01552157	0.08892045	0.00209756	0.08690198	0.01791551	0.15404117	0.02046796	0.16827083	-0.00826015	0.19247966	-0.02379503	0.17879925	-0.06731813	0.14448629	-0.10253852	0.09872406	-0.12202208	0.04990971	-0.12585932	0.00226063	-0.12265089	-0.09127967	-0.10735655	-0.14157695	-0.09176344	-0.18624575	-0.06710289	-0.23443713	-0.00735245	-0.21935285	0.0510974	-0.18905135	0.07457626	-0.10602553	0.09854791	-0.05969235	0.09991009	-0.01014169	0.09614877	0.05165706	0.08683305	0.14776383	0.03837642	0.19109345	0.02978053	-0.01843066	-0.0796655	0.06380768	-0.03484377	0.11484682	-0.02000554	-0.14956394	-0.02175646	-0.07253398	-0.01568532	0.04575891	-0.00840495	0.13787619	0.004644	-0.17605182	0.02550937	-0.11809536	0.03011748	-0.05199885	0.03087048	0.01886739	0.02824933	0.11707948	0.02007625	-0.10378264	0.07279016	-0.04728306	0.06655392	0.01550222	0.05776115	0.07755729	0.04386026	0.15226102	0.06547967	0.00974169	-0.03519664	5.1871646935
star	F	L	lei	2X	18	600x449	0.0099	-0.04532072	-0.11620712	-0.2226453	-0.02859054	-0.2364618	0.01898086	-0.15909401	0.08681549	0.113471	0.06547313	0.19113241	0.05289204	0.0153604	-0.05724192	0.00271642	-0.0171435	0.08889714	0.00213871	0.08679095	0.01814077	0.14863634	0.02187049	0.16840785	-0.00655014	0.19306065	-0.02182788	0.18155894	-0.06874655	0.1472588	-0.10506022	0.10053921	-0.12503288	0.05110553	-0.12834834	0.00329249	-0.12421484	-0.09004132	-0.10656857	-0.14008114	-0.0906248	-0.1846733	-0.06641467	-0.23363926	-0.00774351	-0.21915901	0.051024	-0.18840134	0.07411776	-0.10517737	0.09759295	-0.05881161	0.09890907	-0.00919887	0.0951304	0.05271051	0.08590354	0.14973035	0.03892587	0.19171675	0.03024858	-0.01767995	-0.08096045	0.0632859	-0.03646145	0.11394541	-0.02055666	-0.14983447	-0.02091579	-0.07264938	-0.01613473	0.04616519	-0.00926184	0.13822805	0.00487836	-0.17496467	0.02670179	-0.11759171	0.02952779	-0.05220879	0.029785	0.01793072	0.02759001	0.11430871	0.0202347	-0.10211841	0.07801245	-0.0469084	0.0688663	0.01443271	0.05754104	0.07559831	0.04439977	0.14975214	0.06696249	0.00662793	-0.03805693	5.2467043514
star	F	L	lei	2X	68	600x449	0.0099	-0.04912782	-0.11532324	-0.22131968	-0.0300662	-0.23520901	0.01615713	-0.16465426	0.08438076	0.12051512	0.06111926	0.19131119	0.05089666	0.0143213	-0.05586927	0.00223495	-0.01625271	0.088937	0.00209507	0.08699412	0.01873695	0.15651977	0.01980461	0.1667159	-0.00763582	0.19284682	-0.02209735	0.17803254	-0.06653682	0.14480321	-0.10257962	0.09926881	-0.12327642	0.05021047	-0.12737274	0.00257122	-0.12367853	-0.09042221	-0.10646921	-0.1402335	-0.09040465	-0.1845769	-0.06613166	-0.23303021	-0.00762726	-0.21763622	0.04956613	-0.18792623	0.07306016	-0.10568551	0.09811406	-0.05943729	0.09979366	-0.00996257	0.09609283	0.05174421	0.08684727	0.14839574	0.03960208	0.1917838	0.02843205	-0.02011832	-0.08050545	0.06140391	-0.03575815	0.11244768	-0.02023364	-0.14912427	-0.0217897	-0.07227722	-0.01587315	0.04589381	-0.00838688	0.13785951	0.00517687	-0.1742066	0.02597561	-0.11654427	0.03000756	-0.05078765	0.0309768	0.01975014	0.02904435	0.11790401	0.020994	-0.1069813	0.07498907	-0.0490811	0.06844299	0.01542481	0.05887324	0.07893911	0.04383395	0.15475539	0.06751919	0.00675762	-0.03666384	5.1923656235
star	F	L	lei	2X	69	600x449	0.0099	-0.04490306	-0.11785313	-0.22374728	-0.03048084	-0.23740973	0.02120209	-0.15270089	0.0897638	0.11209384	0.06455029	0.18956519	0.05329146	0.02127205	-0.05516151	0.00612693	-0.01702278	0.08737958	0.00106951	0.08495795	0.01821459	0.14866062	0.02159211	0.16831714	-0.00596641	0.19230143	-0.02090002	0.17994731	-0.06824953	0.1466527	-0.10509773	0.10022149	-0.12586691	0.05059764	-0.12985952	0.00260128	-0.12585415	-0.09079081	-0.10758237	-0.1408213	-0.09115126	-0.18559604	-0.06695514	-0.23579555	-0.00833982	-0.21968428	0.05093786	-0.18910638	0.07441037	-0.10571365	0.09841822	-0.05922142	0.09933667	-0.00961385	0.09481742	0.05216427	0.08478422	0.14914617	0.03810766	0.1903642	0.0316269	-0.01596498	-0.0819452	0.06564362	-0.0357624	0.11638867	-0.01929369	-0.14994377	-0.02157639	-0.07273648	-0.01586936	0.045888	-0.00967193	0.13770906	0.00468208	-0.17586264	0.02803244	-0.11855632	0.03065535	-0.05331519	0.03082053	0.0166617	0.02823118	0.11315185	0.02019063	-0.09976012	0.07633988	-0.0453817	0.06822207	0.01511022	0.05808284	0.07501894	0.04418216	0.14802604	0.06627506	0.01065752	-0.03737731	5.1181492696
star	F	L	lei	2X	70	600x449	0.0099	-0.04768991	-0.11627184	-0.22426506	-0.03112191	-0.23828102	0.01834948	-0.15129439	0.08894024	0.11412308	0.06434939	0.18870037	0.05257071	0.01390319	-0.05655905	0.0087592	-0.01557816	0.08805716	0.00169946	0.08594869	0.01798715	0.15390502	0.02099108	0.16844224	-0.00644353	0.1959799	-0.02202996	0.17888148	-0.06732103	0.14450202	-0.10228393	0.09909837	-0.12224025	0.05025682	-0.1268047	0.0024883	-0.1236793	-0.09109231	-0.10761421	-0.14144373	-0.09201997	-0.18646993	-0.06780768	-0.23640205	-0.00827522	-0.21935538	0.05080562	-0.18865223	0.07364531	-0.1058105	0.09741736	-0.05952864	0.09897207	-0.0099475	0.09542496	0.05193664	0.08636835	0.1483765	0.03833145	0.19093119	0.02970923	-0.0198179	-0.08054361	0.06239031	-0.03634109	0.11369258	-0.02095532	-0.1494225	-0.02257788	-0.07197959	-0.01588279	0.04684304	-0.00890198	0.13894288	0.00521277	-0.17650022	0.02606707	-0.11863496	0.02960132	-0.05264339	0.03093707	0.01815939	0.02898664	0.11608822	0.02063856	-0.09980438	0.07402271	-0.0443477	0.06765386	0.01723803	0.05821341	0.07819882	0.04449351	0.14912683	0.06640349	0.00841301	-0.03653887	5.2528177666
star	F	L	lei	2X	75	600x449	0.0099	-0.04290879	-0.1208735	-0.22025452	-0.03463516	-0.23764806	0.01870394	-0.15051878	0.09218152	0.11521443	0.06302887	0.19004395	0.04992921	0.02169872	-0.05401678	0.00813336	-0.01663611	0.08968655	0.00240522	0.08755596	0.01830861	0.14205945	0.02182196	0.16757874	-0.00740701	0.19269558	-0.02238596	0.17744703	-0.06641867	0.14411467	-0.10190112	0.09942867	-0.12326789	0.0503703	-0.12939821	0.00214339	-0.12702724	-0.09221738	-0.11128049	-0.14296731	-0.09470457	-0.18747948	-0.06854843	-0.2347183	-0.00763516	-0.22114348	0.05163214	-0.19037688	0.07540162	-0.1065436	0.10046042	-0.05971053	0.10163206	-0.00984913	0.09692422	0.05203861	0.0861808	0.1491247	0.03860748	0.19084653	0.02804115	-0.01643861	-0.08245765	0.06528011	-0.03539447	0.11611412	-0.01982912	-0.14727206	-0.02257197	-0.07055806	-0.01569756	0.04707258	-0.00875084	0.13844646	0.00491371	-0.17530112	0.02749357	-0.11800579	0.0314452	-0.05274259	0.03247415	0.01730791	0.0296162	0.11223731	0.01957212	-0.09932864	0.07817594	-0.04642081	0.06979836	0.01247515	0.05971563	0.07077991	0.04581348	0.15004834	0.06289365	0.01246138	-0.03633332	4.6719110224
tkv	F	L	lei	2X	5	600x449	0.0099	-0.04485815	-0.11623859	-0.22252772	-0.03018828	-0.23822374	0.02017999	-0.15444922	0.08846287	0.11779601	0.06127133	0.19174638	0.05390027	0.01336357	-0.05760985	0.00104123	-0.01734008	0.08556762	0.00284234	0.08390729	0.01861304	0.15660886	0.0240143	0.16832705	-0.00511949	0.19154517	-0.0210997	0.18230956	-0.06912995	0.1457177	-0.10286577	0.09970431	-0.1217414	0.05097919	-0.1265606	0.00328685	-0.12351423	-0.09000177	-0.10688169	-0.14008105	-0.09115679	-0.18470683	-0.06690533	-0.23487792	-0.00845923	-0.22011244	0.05212253	-0.18865171	0.074796	-0.10516804	0.09710559	-0.05899056	0.09779586	-0.00966823	0.09332115	0.05185674	0.08366162	0.14947812	0.03992093	0.19168368	0.03053061	-0.01832547	-0.08047052	0.06253362	-0.03593542	0.11324276	-0.0197622	-0.15049594	-0.02154244	-0.07354423	-0.01625438	0.04466074	-0.0080978	0.13660511	0.00654479	-0.17704649	0.02721062	-0.11917716	0.03025902	-0.05330383	0.03092201	0.01739439	0.02832097	0.11669753	0.02176691	-0.10103493	0.07320096	-0.04492165	0.06566617	0.01739866	0.05589434	0.07916647	0.04236339	0.15187852	0.06426765	0.00566997	-0.0380815	5.2465649354
tkv	F	L	lei	2X	10	600x449	0.0099	-0.04707543	-0.11928337	-0.22260592	-0.02828737	-0.23434913	0.02373443	-0.15556317	0.08930902	0.11634296	0.06444559	0.18977963	0.05386797	0.01725018	-0.0567082	0.00402373	-0.01846374	0.08778625	0.00169847	0.08516869	0.01908108	0.14710358	0.02259618	0.16705928	-0.00595548	0.19413835	-0.01748176	0.18043326	-0.06746787	0.14753161	-0.10456122	0.1011928	-0.12509891	0.05166628	-0.13076683	0.00334328	-0.12766343	-0.09037503	-0.10925529	-0.14035523	-0.0920202	-0.18470338	-0.06691719	-0.23292297	-0.00786499	-0.21927014	0.05059003	-0.18923929	0.07499368	-0.10535203	0.09818316	-0.05884589	0.09878192	-0.00919095	0.094449	0.05277761	0.08513305	0.15088434	0.04032008	0.19123907	0.02997778	-0.0187682	-0.08309913	0.06285659	-0.03699172	0.11374064	-0.02054578	-0.14970839	-0.02092204	-0.0725319	-0.0165649	0.04626299	-0.00986114	0.13814644	0.00476842	-0.17345223	0.02916376	-0.11665715	0.03110876	-0.05200456	0.03101827	0.01734659	0.02852003	0.11323442	0.02081985	-0.10265267	0.07536461	-0.04810706	0.06711792	0.01268288	0.05773468	0.07305934	0.04504122	0.15057412	0.06650246	0.00810583	-0.03854083	5.281403937
tkv	F	L	lei	2X	21	600x449	0.0099	-0.04271594	-0.11764548	-0.22136141	-0.03416557	-0.23810223	0.01797176	-0.15436528	0.09005707	0.11628424	0.06370189	0.19158294	0.05341586	0.01662692	-0.05549598	0.00353607	-0.01667538	0.08907115	0.00240536	0.08791711	0.01786871	0.14954844	0.02035298	0.16862469	-0.00967019	0.19046638	-0.02657525	0.18128201	-0.06885203	0.14463307	-0.10227235	0.09804039	-0.11705813	0.04993894	-0.12295154	0.00246417	-0.12242044	-0.09140486	-0.10898175	-0.14206344	-0.09349209	-0.18706876	-0.06849467	-0.23549942	-0.00773926	-0.22020834	0.05214243	-0.18936784	0.07558752	-0.1057906	0.09894252	-0.05939503	0.10009223	-0.00982061	0.09620328	0.05200948	0.08684287	0.14814928	0.03830638	0.19122327	0.02764872	-0.01662795	-0.08107874	0.06358022	-0.03533546	0.1143016	-0.02087081	-0.14875395	-0.02485397	-0.07208196	-0.01790891	0.04551007	-0.00848537	0.13740918	0.00457339	-0.17582093	0.02589997	-0.1180087	0.02954734	-0.05207075	0.03099899	0.0187437	0.02921245	0.11541176	0.01923162	-0.10065255	0.07661909	-0.04564599	0.06905402	0.01556366	0.0593463	0.07618391	0.04556115	0.15150502	0.06666472	0.00721888	-0.03722522	4.8729334108
