genotype	sex	side	microscope	magnification	ID	dimensions	Scale	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	X9	Y9	X10	Y10	X11	Y11	X12	Y12	X13	Y13	X14	Y14	X15	Y15	X16	Y16	X17	Y17	X18	Y18	X19	Y19	X20	Y20	X21	Y21	X22	Y22	X23	Y23	X24	Y24	X25	Y25	X26	Y26	X27	Y27	X28	Y28	X29	Y29	X30	Y30	X31	Y31	X32	Y32	X33	Y33	X34	Y34	X35	Y35	X36	Y36	X37	Y37	X38	Y38	X39	Y39	X40	Y40	X41	Y41	X42	Y42	X43	Y43	X44	Y44	X45	Y45	X46	Y46	X47	Y47	X48	Y48	CentroidSize
mam	F	L	lei	4X	120	1200x898	0.0089173	-0.0427328	-0.11654408	-0.2211862	-0.03087331	-0.23706176	0.01839158	-0.15904198	0.09005069	0.11683973	0.06200246	0.19097311	0.05307303	0.01518541	-0.05720095	0.00386397	-0.01773127	0.08930271	0.00142041	0.0873439	0.01720933	0.14875207	0.02050888	0.1688814	-0.0071321	0.19488623	-0.01827944	0.18054753	-0.06644037	0.14622367	-0.10236187	0.09996634	-0.12198094	0.05078305	-0.1266395	0.0027972	-0.12344791	-0.09031639	-0.10662096	-0.13979094	-0.09065241	-0.18450994	-0.06628123	-0.23392271	-0.00790235	-0.22044353	0.05192672	-0.19085751	0.07610252	-0.10659784	0.09938354	-0.05974423	0.09941099	-0.00991085	0.09415729	0.05174576	0.08379061	0.14930723	0.03942982	0.19222149	0.03030995	-0.01715934	-0.0797866	0.06412204	-0.03717422	0.11438518	-0.02152655	-0.14880758	-0.02066191	-0.07152593	-0.01551696	0.04662294	-0.00913752	0.13875353	0.0045395	-0.17535086	0.02678034	-0.11772572	0.03009865	-0.05241976	0.03028223	0.01771636	0.02695965	0.11525478	0.01873657	-0.10368802	0.07649705	-0.04830034	0.06728271	0.01289069	0.05677307	0.07361736	0.04349856	0.15070546	0.06339562	0.00740506	-0.03811932	4.365139815
mam	F	L	lei	4X	45	1200x898	0.0089173	-0.04689333	-0.11419673	-0.22170719	-0.0326582	-0.23886355	0.01576463	-0.16131652	0.08581109	0.11758451	0.06129833	0.18806456	0.05192373	0.01370312	-0.05420284	0.0035153	-0.01605602	0.08948648	0.00259968	0.08767666	0.01886346	0.15847755	0.02041439	0.16788398	-0.00769873	0.19431328	-0.02104057	0.18009989	-0.06752697	0.14538934	-0.10325779	0.09891784	-0.1224976	0.04988582	-0.12566818	0.0022507	-0.12177361	-0.09044785	-0.10542897	-0.1397331	-0.09006777	-0.18455019	-0.06651166	-0.23567293	-0.0091945	-0.21982158	0.05061924	-0.18977904	0.07317281	-0.10686919	0.09707672	-0.06026552	0.09846076	-0.01043015	0.09459566	0.05131924	0.08531985	0.14787457	0.03845986	0.18999744	0.0293541	-0.01947949	-0.07821932	0.06223559	-0.03497836	0.11320974	-0.02055415	-0.14926159	-0.02093964	-0.07216473	-0.01411509	0.04558086	-0.00811056	0.13769136	0.00425355	-0.17687274	0.02566513	-0.11810675	0.03013129	-0.0514171	0.03151455	0.02028178	0.02902065	0.12081133	0.02063164	-0.10275742	0.0752307	-0.04517602	0.06761884	0.01833745	0.05748088	0.08104498	0.04304947	0.14979291	0.06226167	0.0061597	-0.03589541	4.8065998771
mam	F	L	lei	4X	85	1200x898	0.0089173	-0.04048694	-0.11760954	-0.22259327	-0.03416191	-0.24057706	0.01771383	-0.15308487	0.09111397	0.11591539	0.0614202	0.18886777	0.05061309	0.02059253	-0.05288473	0.00877618	-0.01586016	0.08812961	0.00099232	0.08670735	0.01664649	0.15148132	0.01955334	0.16748258	-0.00830857	0.19250425	-0.02090719	0.17862599	-0.06606779	0.14342207	-0.10027075	0.09807886	-0.11985288	0.04943453	-0.1256366	0.00154386	-0.12330742	-0.09168556	-0.10764296	-0.14143205	-0.09213919	-0.18655871	-0.06790559	-0.23732113	-0.00910845	-0.22200899	0.05211436	-0.19166425	0.07520077	-0.10788985	0.09923014	-0.06102019	0.10022652	-0.01106378	0.09578883	0.05067609	0.08576504	0.14677186	0.03782356	0.18995045	0.02931955	-0.01524861	-0.0794042	0.06550686	-0.03468973	0.11556934	-0.02023165	-0.14835141	-0.02326611	-0.0712636	-0.01647287	0.04619579	-0.00918951	0.1380382	0.00296203	-0.17826282	0.02597574	-0.11995773	0.02978231	-0.05381132	0.03110149	0.01735269	0.02834207	0.11609	0.01810805	-0.09754751	0.07839093	-0.04281116	0.06851111	0.01757531	0.05680283	0.07747362	0.04250469	0.14987562	0.06418649	0.01200268	-0.03527195	4.0722130513
mam	F	R	lei	4X	81	1200x898	0.0089173	-0.04647181	-0.11560877	-0.22314787	-0.02823813	-0.23727426	0.01531871	-0.15634764	0.08892805	0.11768437	0.06091677	0.1904493	0.05430302	0.01552287	-0.05713937	0.00832807	-0.01645904	0.08809978	0.00120845	0.08660224	0.0175784	0.15239457	0.02254794	0.16653612	-0.00581843	0.19402867	-0.01853043	0.18052407	-0.0677116	0.14578545	-0.10343309	0.09943443	-0.12337823	0.05014711	-0.12704605	0.00230184	-0.12322117	-0.09066951	-0.1065701	-0.14018382	-0.09105903	-0.18491794	-0.06679892	-0.23367667	-0.00809437	-0.22040867	0.05146746	-0.19045042	0.07488052	-0.10663457	0.09738738	-0.05997982	0.09777747	-0.01019408	0.09315508	0.05149391	0.08349764	0.14911797	0.03932591	0.19160252	0.03083706	-0.01877788	-0.07985559	0.06265238	-0.03710519	0.1125703	-0.02032788	-0.14866276	-0.02135513	-0.07125174	-0.01617733	0.04701846	-0.00924349	0.13883826	0.0054655	-0.17785629	0.02834999	-0.11972064	0.03121979	-0.053984	0.03095046	0.01662945	0.02782418	0.11608084	0.02008013	-0.10084773	0.0758604	-0.04536918	0.06695351	0.01582635	0.05628544	0.07648975	0.04263082	0.15131456	0.06572923	0.00935366	-0.03730796	4.7251964618
samw	F	L	lei	4X	4	1200x898	0.0089173	-0.05185314	-0.11561171	-0.2212811	-0.02840198	-0.23512241	0.01597447	-0.16070464	0.08666336	0.11908079	0.06124871	0.19195416	0.05155268	0.01635354	-0.05533082	0.00353775	-0.01662583	0.09060144	0.0024515	0.08836453	0.01906345	0.14716834	0.0222028	0.16876696	-0.00639906	0.19554815	-0.01976882	0.18066566	-0.06803895	0.14599179	-0.10379246	0.09956493	-0.12334954	0.05030192	-0.12758242	0.00233171	-0.12419832	-0.09076378	-0.10731905	-0.1402143	-0.09122824	-0.18458423	-0.06628926	-0.23203399	-0.00726957	-0.21877022	0.05054914	-0.18935796	0.07381251	-0.1061778	0.09758196	-0.05943479	0.0986385	-0.00947723	0.09454688	0.05242387	0.08514374	0.150085	0.03965767	0.1930606	0.0295958	-0.02068051	-0.08057431	0.063098	-0.03605087	0.11478536	-0.02010402	-0.14843839	-0.02128538	-0.07116282	-0.01625294	0.04707226	-0.00844753	0.13934755	0.00540388	-0.17389662	0.02666574	-0.11650213	0.03027113	-0.05152159	0.03040836	0.01832798	0.02819199	0.11510819	0.02056583	-0.10529482	0.07475463	-0.04976154	0.06786496	0.01157943	0.05898771	0.07198081	0.04489285	0.15302085	0.06426038	0.00691245	-0.03702953	4.6474779378
samw	F	L	lei	4X	8	1200x898	0.0089173	-0.04814182	-0.11595634	-0.22220207	-0.02890491	-0.2353114	0.01687607	-0.15880261	0.08739134	0.1179021	0.06299271	0.18938509	0.05364259	0.01590826	-0.0553043	0.00334251	-0.01728382	0.08827755	0.00186207	0.08604863	0.0188442	0.15053091	0.02213034	0.16750952	-0.00666373	0.19447967	-0.02188444	0.18148145	-0.06866292	0.14646493	-0.10431042	0.09986963	-0.12380323	0.05052947	-0.12742234	0.00256715	-0.12374147	-0.09071214	-0.10734918	-0.14044049	-0.09174822	-0.1852651	-0.06707507	-0.23281887	-0.00734069	-0.21849057	0.05059354	-0.18912574	0.07386968	-0.10594823	0.09812858	-0.05907962	0.0996966	-0.00891791	0.09625464	0.0533078	0.08731129	0.14996443	0.03828452	0.19239031	0.02907145	-0.01948082	-0.08013083	0.06265449	-0.03631074	0.11340915	-0.0207481	-0.149324	-0.02208311	-0.0722112	-0.01713025	0.04575649	-0.00931361	0.13766754	0.00499101	-0.17470615	0.02622967	-0.117295	0.02972693	-0.05219329	0.03050418	0.01781501	0.02850294	0.11549449	0.02047156	-0.10309491	0.07432203	-0.04719853	0.06765581	0.0144653	0.05877211	0.07525193	0.04481148	0.1513785	0.06745561	0.00690817	-0.03722521	4.6561116047
star	F	L	lei	4X	70	1200x898	0.0089173	-0.05147725	-0.11420728	-0.22380855	-0.03165238	-0.23842107	0.01401335	-0.15392737	0.0879057	0.11531142	0.06388279	0.18890891	0.0520069	0.01474333	-0.0560662	0.00946145	-0.01543941	0.08889834	0.00166336	0.08682354	0.01811842	0.15197045	0.021947	0.16868524	-0.00667126	0.19525097	-0.02022467	0.17848499	-0.06708983	0.14605906	-0.10485475	0.09898361	-0.12437508	0.04962958	-0.12641804	0.00186436	-0.12228316	-0.09120448	-0.10638117	-0.14069413	-0.09080608	-0.1856715	-0.06682882	-0.23653277	-0.00839876	-0.21824957	0.04975722	-0.18881521	0.07234517	-0.10660495	0.09786415	-0.05986178	0.0997639	-0.00982583	0.09601855	0.05213975	0.08655191	0.1486825	0.03828539	0.19092419	0.02905422	-0.02003559	-0.08070386	0.06249347	-0.03651258	0.11399133	-0.0207921	-0.14904537	-0.02215539	-0.07150067	-0.015579	0.04684142	-0.0088148	0.13899285	0.00469686	-0.17677733	0.02461625	-0.11882715	0.0295769	-0.05302791	0.03123261	0.01776095	0.02899806	0.11625443	0.01996823	-0.0988578	0.07582109	-0.04362483	0.06853471	0.01731324	0.05900769	0.07742759	0.04494674	0.14975209	0.06597996	0.00914207	-0.03630251	4.8137056524
star	F	L	lei	4X	75	1200x898	0.0089173	-0.05111172	-0.11785589	-0.22166219	-0.03399276	-0.23572717	0.01978067	-0.14973432	0.09146205	0.1168834	0.06199937	0.19051839	0.05084045	0.02192288	-0.05415357	0.00821992	-0.01745291	0.0896342	0.0028303	0.08751353	0.01908211	0.14359581	0.02164513	0.16755275	-0.00723911	0.19304655	-0.01987126	0.17837342	-0.06687726	0.14644082	-0.10523372	0.09890452	-0.1218834	0.04976253	-0.12576075	0.00168772	-0.1238166	-0.0925116	-0.11104315	-0.14322799	-0.09592317	-0.18862581	-0.06999155	-0.23413223	-0.00752197	-0.21975261	0.05036103	-0.19039677	0.07366291	-0.10737918	0.09998947	-0.06018505	0.10162955	-0.00988323	0.09706502	0.05213867	0.08637544	0.14978883	0.03946277	0.19131989	0.02842266	-0.01753153	-0.08426159	0.06385372	-0.03573406	0.11492727	-0.01957419	-0.14802599	-0.0227809	-0.07068773	-0.01748936	0.04691611	-0.00830812	0.13883926	0.00534214	-0.17427404	0.02718708	-0.1172732	0.0308749	-0.05262592	0.03248019	0.01698698	0.0298098	0.11295311	0.01994141	-0.09910156	0.07549725	-0.04572184	0.06858602	0.01306152	0.05942295	0.07120189	0.04613888	0.15105225	0.06367493	0.01247574	-0.03679918	4.2468023821
star	F	R	lei	4X	13	1200x898	0.0089173	-0.0548687	-0.11869594	-0.22329259	-0.02937496	-0.23621989	0.01977202	-0.14471829	0.08879797	0.11727377	0.06544408	0.18832352	0.05424207	0.01549472	-0.05725089	0.00192174	-0.0161285	0.08742076	0.00397612	0.08580259	0.01939614	0.15007308	0.02447637	0.16684075	-0.00484732	0.19164334	-0.0170248	0.18174654	-0.06924694	0.14631952	-0.10525496	0.09980033	-0.12516864	0.05017764	-0.13239991	0.0017187	-0.12815205	-0.09197139	-0.11114238	-0.14198337	-0.09460448	-0.18614198	-0.06811867	-0.23427321	-0.00831894	-0.218665	0.04911085	-0.18864772	0.07086427	-0.10642056	0.09660708	-0.05960083	0.09957273	-0.0092335	0.09702939	0.0533528	0.08862665	0.15125272	0.04029724	0.1894328	0.0304289	-0.02168209	-0.08492061	0.06082059	-0.03645951	0.1125867	-0.0187117	-0.15064143	-0.02228508	-0.07358605	-0.01681723	0.04402068	-0.00675058	0.13612649	0.00685054	-0.17469139	0.0262535	-0.11744096	0.02953717	-0.05259095	0.03072654	0.01719483	0.02893815	0.11403311	0.02186661	-0.09171445	0.07591094	-0.03857624	0.06813521	0.0200356	0.05866548	0.07808153	0.04582638	0.15046969	0.06824962	0.00499603	-0.03792793	4.7716545393
tkv	F	L	lei	4X	100	1200x898	0.0089173	-0.04647874	-0.11633705	-0.22273474	-0.03102531	-0.23857549	0.01546938	-0.15383555	0.08926035	0.11825083	0.06175924	0.18948344	0.0532842	0.01735623	-0.05488903	0.00488489	-0.0167658	0.08956667	0.00076508	0.08789701	0.01743527	0.14517396	0.0211805	0.16938156	-0.00703088	0.19521458	-0.02247027	0.18053879	-0.06750925	0.14545629	-0.10246793	0.09942296	-0.1217739	0.0504466	-0.12721651	0.00245869	-0.12412997	-0.09052909	-0.10670348	-0.13999235	-0.09072502	-0.18503166	-0.06681047	-0.23533548	-0.00832834	-0.21980014	0.05160823	-0.18958871	0.07427902	-0.106239	0.09815717	-0.05944842	0.09924991	-0.00948409	0.09492479	0.05235682	0.08518993	0.15019055	0.04012295	0.19119949	0.03060142	-0.01773208	-0.080476	0.06442517	-0.03621005	0.11558881	-0.02133311	-0.14941763	-0.02115304	-0.07200421	-0.01574614	0.04636499	-0.00933842	0.13863031	0.00414827	-0.17678839	0.02648455	-0.11899765	0.03065745	-0.05349538	0.03077965	0.0168821	0.02792128	0.11424035	0.01882941	-0.10023553	0.0757481	-0.04618319	0.06810991	0.01344595	0.0585978	0.07230041	0.04470661	0.15138541	0.06562757	0.00938465	-0.03645807	4.6120525295
