genotype	sex	side	microscope	magnification	ID	Scale	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	X9	Y9	X10	Y10	X11	Y11	X12	Y12	X13	Y13	X14	Y14	X15	Y15	X16	Y16	X17	Y17	X18	Y18	X19	Y19	X20	Y20	X21	Y21	X22	Y22	X23	Y23	X24	Y24	X25	Y25	X26	Y26	X27	Y27	X28	Y28	X29	Y29	X30	Y30	X31	Y31	X32	Y32	X33	Y33	X34	Y34	X35	Y35	X36	Y36	X37	Y37	X38	Y38	X39	Y39	X40	Y40	X41	Y41	X42	Y42	X43	Y43	X44	Y44	X45	Y45	X46	Y46	X47	Y47	X48	Y48	CentroidSize
egfr	F	L	oly	4X	108	0.00704	-0.04813064	-0.11652441	-0.22365611	-0.02854931	-0.23853687	0.01996117	-0.14960386	0.0925503	0.11657893	0.0604867	0.18717941	0.05120595	0.02031592	-0.05526484	0.00776517	-0.0180658	0.08577231	-0.00044412	0.08334373	0.01704998	0.15173286	0.02160236	0.16514747	-0.00838314	0.19504639	-0.01223547	0.18241716	-0.06522198	0.1481114	-0.10150899	0.10104251	-0.12287204	0.05027833	-0.12810002	0.000668	-0.12444612	-0.09300062	-0.10673163	-0.14223779	-0.09018546	-0.18659781	-0.06519998	-0.2356098	-0.00661824	-0.22079216	0.05308242	-0.18999641	0.07654403	-0.10543482	0.09968316	-0.05882294	0.09999563	-0.00954052	0.09500833	0.05294247	0.08431827	0.14937227	0.0365713	0.19029872	0.02605098	-0.01818618	-0.08125023	0.06317825	-0.03783211	0.11334535	-0.02195912	-0.14948612	-0.02143618	-0.07229898	-0.0170773	0.04584847	-0.01107626	0.13768611	0.00342407	-0.17817032	0.02819703	-0.12071889	0.03094125	-0.05463492	0.03043552	0.01684922	0.0267469	0.11507019	0.01871747	-0.09681954	0.07670432	-0.04272209	0.06827441	0.01756392	0.05704203	0.07677956	0.04172334	0.14942495	0.06244779	0.01123835	-0.03778193	4.238
egfr	F	L	oly	4X	109	0.00704	-0.0548509	-0.11263863	-0.22393131	-0.02706813	-0.23771042	0.01797634	-0.15859748	0.08707367	0.11556019	0.06126219	0.19091484	0.05169379	0.01736518	-0.05442823	0.0064674	-0.01591053	0.08773123	0.0012165	0.08625978	0.017092	0.15655708	0.02171745	0.16676727	-0.00773407	0.19499866	-0.01588988	0.18213965	-0.06686179	0.14737718	-0.10308536	0.099705	-0.1232989	0.04913957	-0.12694699	0.0000015	-0.12244688	-0.09276245	-0.10384529	-0.14143016	-0.08752812	-0.1856257	-0.06359282	-0.23517285	-0.00636415	-0.21890473	0.05186601	-0.1884471	0.07454224	-0.1050092	0.09689326	-0.05884926	0.09752217	-0.00983489	0.09323603	0.0524897	0.08349147	0.14926044	0.03729228	0.19244119	0.02643398	-0.0222558	-0.07900546	0.06193656	-0.03709067	0.11337841	-0.02120401	-0.1497643	-0.01974444	-0.07225748	-0.01558471	0.04635325	-0.00945449	0.138687	0.00489811	-0.17685011	0.02625837	-0.11886179	0.0294395	-0.05212338	0.02992866	0.02017802	0.02753008	0.11938482	0.01867195	-0.10218762	0.07349752	-0.04583037	0.06608483	0.01712942	0.0560643	0.07885643	0.04090087	0.15041984	0.06290856	0.0097577	-0.0357686	4.787
egfr	F	L	oly	4X	11	0.00704	-0.04976846	-0.11573195	-0.22331868	-0.02880643	-0.23853648	0.01793858	-0.15079793	0.09126444	0.11723206	0.06124114	0.1889191	0.05137537	0.02068832	-0.05446471	0.00749429	-0.01593698	0.08771136	-0.00032835	0.0846643	0.0181514	0.14918747	0.0205658	0.16651983	-0.00907758	0.1943069	-0.01415867	0.18271597	-0.06657965	0.14789352	-0.10265963	0.10057468	-0.12367369	0.04980207	-0.12836011	0.00031031	-0.12428886	-0.09306338	-0.10599045	-0.1422204	-0.08971481	-0.1866209	-0.06503803	-0.23545771	-0.00643152	-0.22031622	0.05299075	-0.18945616	0.07612102	-0.10507682	0.09861551	-0.05859491	0.09898144	-0.00937471	0.09424095	0.05314457	0.08395866	0.14961755	0.036292	0.19096876	0.02644445	-0.01874251	-0.0808443	0.06330784	-0.03725935	0.11408072	-0.02172145	-0.14898973	-0.02140134	-0.07186646	-0.01588953	0.04614123	-0.01027194	0.13806934	0.00388257	-0.1780432	0.02774179	-0.12089815	0.030817	-0.05517474	0.03010282	0.01601112	0.02767585	0.11359233	0.01864773	-0.09744143	0.07666596	-0.04370348	0.06780806	0.01637838	0.05713696	0.07567671	0.04322188	0.15062041	0.0626973	0.01183333	-0.03595013	4.33
egfr	F	L	oly	4X	110	0.00704	-0.05028242	-0.11386476	-0.22282941	-0.0309694	-0.2393138	0.01593524	-0.15140068	0.09141873	0.11925959	0.05888549	0.19114679	0.0505577	0.02002961	-0.05255749	0.00512632	-0.01619586	0.0879381	0.00035508	0.08571336	0.01617638	0.15002786	0.02176998	0.16741978	-0.00879847	0.19786228	-0.01880335	0.18070663	-0.06501307	0.14556678	-0.09948004	0.09958133	-0.12059992	0.04951405	-0.12581856	0.00028438	-0.12212253	-0.09293681	-0.10467864	-0.14219516	-0.08918371	-0.18702331	-0.06524806	-0.23634725	-0.00632399	-0.22030522	0.05357673	-0.18946178	0.07676897	-0.1050585	0.0983913	-0.05876073	0.09825717	-0.00975698	0.0931379	0.05249676	0.08270674	0.14950888	0.03743195	0.19333176	0.02799027	-0.01898373	-0.07928656	0.06372973	-0.03642496	0.11508892	-0.02263898	-0.14926835	-0.02061733	-0.07166178	-0.01480836	0.04688645	-0.00922876	0.13961291	0.0037011	-0.17848567	0.02629826	-0.1211085	0.03000944	-0.05505387	0.03005032	0.01647501	0.02740418	0.11471015	0.01794714	-0.09897397	0.07479736	-0.04485233	0.06659021	0.01551229	0.05611336	0.07490272	0.04163603	0.15254028	0.06069518	0.0090875	-0.03593944	4.044
egfr	F	L	oly	4X	111	0.00704	-0.04875019	-0.11521663	-0.22238464	-0.02828341	-0.23646633	0.02204001	-0.15516651	0.08945148	0.1184755	0.06053176	0.1900934	0.05139384	0.01693592	-0.05647174	0.00387316	-0.0169252	0.08705398	-0.0003864	0.08530649	0.01758205	0.15136347	0.02059934	0.1671458	-0.0087107	0.18936045	-0.01473262	0.18576754	-0.06751496	0.14915041	-0.10359397	0.10113235	-0.12401487	0.05021674	-0.12830761	0.00080885	-0.12369807	-0.09254515	-0.10573187	-0.14177405	-0.08985377	-0.18612368	-0.06517952	-0.23385904	-0.00633644	-0.21991358	0.05244933	-0.18921522	0.07562883	-0.10500659	0.0981816	-0.0585662	0.09892344	-0.00930808	0.09477479	0.0533093	0.08499497	0.14915279	0.03578934	0.19192452	0.03056653	-0.0186736	-0.08076269	0.06334359	-0.03740261	0.11397673	-0.02168672	-0.14927839	-0.02034144	-0.07267589	-0.01583031	0.0445893	-0.01070165	0.13592431	0.00289984	-0.17600678	0.02781214	-0.1189346	0.02996588	-0.05327793	0.03009256	0.0178465	0.02770659	0.11527562	0.01907241	-0.10041559	0.07643976	-0.04555859	0.06807198	0.01576525	0.05743787	0.0761019	0.04280499	0.15210316	0.06398582	0.0079036	-0.0375139	4.49
egfr	F	L	oly	4X	112	0.00704	-0.04851816	-0.11674414	-0.22196151	-0.02780154	-0.23662176	0.01846276	-0.15461772	0.09130748	0.11441044	0.06368708	0.18931389	0.05047797	0.02017234	-0.05621821	0.00751713	-0.01679725	0.08690418	-0.00118279	0.08420638	0.0172775	0.14730497	0.01857425	0.16619596	-0.00900994	0.19641026	-0.01369407	0.18276213	-0.06569613	0.14886737	-0.10256087	0.10144918	-0.12393411	0.05045925	-0.12921787	0.0007045	-0.12539539	-0.0927925	-0.10621513	-0.14179051	-0.08914752	-0.18586376	-0.06399225	-0.23375637	-0.00550026	-0.21958953	0.05285549	-0.1893801	0.07673352	-0.10485511	0.09994837	-0.05818773	0.10038804	-0.00879866	0.09573251	0.05388054	0.08528302	0.14949564	0.03520873	0.19183262	0.02770122	-0.01739479	-0.08261512	0.06371723	-0.03850196	0.11421011	-0.02304117	-0.14801969	-0.02068488	-0.07090434	-0.01568555	0.04706247	-0.01059734	0.13909298	0.00268549	-0.17667764	0.02839494	-0.1200542	0.03125914	-0.05494031	0.03061672	0.01557334	0.02749454	0.11214467	0.01756697	-0.10086532	0.076622	-0.04661186	0.06828118	0.01404551	0.05784683	0.073655	0.04299357	0.14943469	0.06412163	0.01137878	-0.03728744	4.436
egfr	F	L	oly	4X	113	0.00704	-0.0466892	-0.11573601	-0.22491176	-0.02680527	-0.24004815	0.02204706	-0.14842798	0.09239548	0.11306277	0.0626898	0.19239771	0.05003352	0.01991316	-0.0548615	0.00889399	-0.01773982	0.08563554	-0.00104875	0.08326831	0.01533415	0.1523376	0.02078408	0.16501791	-0.00770611	0.19354483	-0.01086936	0.18370339	-0.06563822	0.14779192	-0.10100274	0.10015245	-0.11998207	0.05000132	-0.12615001	0.0005818	-0.12331121	-0.09277111	-0.10541262	-0.14187375	-0.08914484	-0.18637942	-0.06480625	-0.23603056	-0.00676126	-0.22260393	0.05495568	-0.19070847	0.07804462	-0.10544505	0.09765182	-0.05918479	0.09717437	-0.01019479	0.09218833	0.05209587	0.08212868	0.14886033	0.03699789	0.19281981	0.02762325	-0.01695249	-0.08105968	0.0634194	-0.03712088	0.11346347	-0.02195837	-0.15004999	-0.01996693	-0.0724049	-0.01646859	0.04655508	-0.011072	0.13881938	0.00380067	-0.17933591	0.02842356	-0.12158715	0.03002261	-0.05522085	0.02865481	0.0166267	0.02527885	0.11526127	0.01726443	-0.09726246	0.07325649	-0.04305231	0.0652504	0.01735038	0.05503302	0.07694522	0.04129715	0.15010846	0.06332041	0.01250694	-0.03702865	4.389
egfr	F	L	oly	4X	114	0.00704	-0.04611904	-0.11369168	-0.22176517	-0.03238031	-0.23861379	0.01551229	-0.15471557	0.09073656	0.1201044	0.06018709	0.19396227	0.04730445	0.02006938	-0.05486506	0.00491791	-0.01696628	0.08395389	-0.00161829	0.08239932	0.01785694	0.14950384	0.01925019	0.16529007	-0.01061463	0.19511701	-0.016792	0.18139837	-0.06441538	0.14682084	-0.09965345	0.10040258	-0.12037309	0.05024068	-0.12461755	0.00104569	-0.1207963	-0.09241746	-0.10464176	-0.14197321	-0.08975595	-0.18710476	-0.06582945	-0.23595167	-0.00602017	-0.21937201	0.05342	-0.18867795	0.07646523	-0.10469089	0.10004485	-0.05817146	0.10101134	-0.00887313	0.09672981	0.05368835	0.08639768	0.14810882	0.03477937	0.19436603	0.02489295	-0.01711821	-0.07880594	0.06382258	-0.037288	0.11339697	-0.02204227	-0.14879802	-0.021823	-0.07149814	-0.01592815	0.04631206	-0.00970403	0.13896179	0.00202173	-0.17850927	0.02592639	-0.12140974	0.03017691	-0.05557931	0.03110678	0.01583101	0.02886742	0.1135089	0.01800126	-0.10049728	0.07573013	-0.04588243	0.06732332	0.01528973	0.05770496	0.0754663	0.04344361	0.15494541	0.06126857	0.00881432	-0.03753709	4.214
egfr	F	L	oly	4X	115	0.00704	-0.0496776	-0.11628639	-0.22337951	-0.026016	-0.23686397	0.02102098	-0.15220985	0.09031511	0.11891148	0.06118969	0.19407946	0.05163905	0.0187122	-0.05593955	0.00537345	-0.01746866	0.08527392	-0.00005704	0.08296099	0.01785423	0.14759867	0.02096732	0.16692005	-0.00717281	0.19163011	-0.01376012	0.18337063	-0.0663616	0.1483215	-0.1021639	0.10134164	-0.12407993	0.05039622	-0.1295488	0.00076861	-0.12540623	-0.09241479	-0.1060558	-0.14133403	-0.08923221	-0.1854248	-0.06433234	-0.23391539	-0.00613117	-0.21951626	0.05285426	-0.1886747	0.07583271	-0.10449143	0.0982459	-0.058086	0.09868335	-0.00891723	0.09403362	0.0535641	0.08389628	0.15079589	0.03793329	0.19321969	0.02868273	-0.01857783	-0.08189046	0.06339972	-0.03751136	0.1143031	-0.02165628	-0.1496579	-0.01984798	-0.07241913	-0.01648086	0.04592935	-0.010372	0.13784631	0.00455005	-0.17686553	0.02834104	-0.12024097	0.03066737	-0.05511852	0.03007455	0.01540349	0.02704802	0.1121332	0.01841897	-0.09968011	0.0742287	-0.04585941	0.06600065	0.01429942	0.05636366	0.0736671	0.04307356	0.15385777	0.06353677	0.00924689	-0.03768037	4.63
egfr	F	L	oly	4X	116	0.00704	-0.05091084	-0.11636277	-0.22261862	-0.02319733	-0.23680504	0.02345017	-0.15762558	0.08872325	0.11679949	0.06064435	0.19091787	0.05209823	0.01693166	-0.05794188	0.00852072	-0.01726572	0.08999964	0.00063303	0.08719618	0.01707087	0.14839195	0.02141216	0.16713738	-0.00655664	0.19170032	-0.01040713	0.18441663	-0.06668845	0.15039527	-0.10455583	0.10194957	-0.12556271	0.05073664	-0.13047081	0.00102936	-0.1263865	-0.09172344	-0.10556399	-0.14001411	-0.08785496	-0.18346562	-0.06296469	-0.23188072	-0.00645851	-0.22174764	0.05369816	-0.18993053	0.07693789	-0.10474266	0.09615324	-0.0585347	0.09582683	-0.00954149	0.09121017	0.05279389	0.08161251	0.14949621	0.03628356	0.19118918	0.03042467	-0.01940316	-0.08267695	0.06314387	-0.03858377	0.1141166	-0.02204297	-0.14829551	-0.01783202	-0.07137334	-0.01560504	0.04692537	-0.01147337	0.13805051	0.00468804	-0.17602735	0.03068931	-0.11923524	0.03198064	-0.05402409	0.03002063	0.01662328	0.02674536	0.113486	0.01880424	-0.1029413	0.07552695	-0.04830347	0.06673439	0.01286699	0.05640754	0.07325955	0.04285528	0.15131372	0.06418474	0.00975662	-0.03836416	4.789
